Категория;Описание;Нормативный источник;Временное ограничение;Номер задачи;Номер артефакта
ПРАВИЛА;Учет распоряжения участника о правопреемниках (при наличии) при распределении средств;"ФЗ-75 ст.36.37; Редакция №1 п.11.2";Постоянно;ЗДЧ08.01.04, ЗДЧ08.02.02;АРТ08.01.15, АРТ08.02.05
ПРАВИЛА;Формирование реестра всех правопреемников по одному умершему участнику с группировкой по очередям;Редакция №1 п.11;Постоянно;ЗДЧ08.01.05;АРТ08.01.19
ПРАВИЛА;Принятие решения о признании или отказе в признании права правопреемства с указанием оснований;"ФЗ-75 ст.36.37; Редакция №1 п.11";Постоянно;ЗДЧ08.01.06;АРТ08.01.23
ПРАВИЛА;Уведомление правопреемников о принятом решении в письменной форме с указанием суммы и сроков выплаты;"Редакция №1 п.11; Редакция №7 п.11";Постоянно;ЗДЧ08.01.07;АРТ08.01.24, АРТ08.01.26
ПРАВИЛА;Определение базы для расчета правопреемства на дату смерти участника с учетом взносов, инвестиционного дохода и произведенных выплат;"ФЗ-75 ст.36.37; Редакция №1 п.11.2";Постоянно;ЗДЧ08.02.01;АРТ08.02.03, АРТ08.02.04
ПРАВИЛА;Распределение средств между правопреемниками в равных долях (при отсутствии распоряжения) или согласно распоряжению участника;"Редакция №1 п.11.2; Закон 81-ОЗ ст.10";Постоянно;ЗДЧ08.02.02;АРТ08.02.06, АРТ08.02.07
ПРАВИЛА;Расчет НДФЛ с сумм правопреемства в соответствии с налоговым законодательством РФ;"НК РФ ст.213; Редакция №1 п.11.2";Постоянно;ЗДЧ08.02.03;АРТ08.02.10, АРТ08.02.11
ПРАВИЛА;Согласование расчетов правопреемства с бухгалтерией, юридическим отделом и финансовой службой;Редакция №1 п.11.2;Постоянно;ЗДЧ08.02.05;АРТ08.02.16, АРТ08.02.17
ПРАВИЛА;Формирование бухгалтерских проводок по выбытию средств из пенсионных резервов при регистрации выплат;"Постановление 344-П п.24; Редакция №1 п.11.3";Постоянно;ЗДЧ08.02.04, ЗДЧ08.03.04;АРТ08.02.13, АРТ08.03.12
ПРАВИЛА;Формирование реестра выплат с указанием способа выплаты (банковский перевод, почтовый перевод, касса НПФ);Редакция №1 п.11.3;Постоянно;ЗДЧ08.03.01;АРТ08.03.03
ПРАВИЛА;Контроль исполнения банком платежей с выявлением неисполненных или вернувшихся платежей;Редакция №1 п.11.3;Постоянно;ЗДЧ08.03.03;АРТ08.03.09, АРТ08.03.10
ПРАВИЛА;Регистрация фактически произведенных выплат в регистре выплат правопреемникам;Постановление 344-П п.24;Постоянно;ЗДЧ08.03.04;АРТ08.03.11
ПРАВИЛА;Уведомление правопреемников о причинах невыплаты с запросом актуальных реквизитов при возврате платежа;Редакция №1 п.11.3;Постоянно;ЗДЧ08.03.05;АРТ08.03.14, АРТ08.03.15
ПРАВИЛА;Формирование справок 2-НДФЛ для правопреемников и представление в налоговые органы;"НК РФ ст.230; Редакция №1 п.11.4";Постоянно;ЗДЧ08.03.06;АРТ08.03.17, АРТ08.03.18
ПРАВИЛА;Закрытие пенсионного счета умершего участника после полной выплаты средств всем правопреемникам;"Редакция №1 п.11.4; Редакция №7 п.11.4";Постоянно;ЗДЧ08.03.07;АРТ08.03.20
ПРАВИЛА;Формирование полного комплекта документов дела правопреемства для передачи в архив;Редакция №1 п.11.4;Постоянно;ЗДЧ08.03.07;АРТ08.03.19, АРТ08.03.21
ТРЕБОВАНИЯ;Своевременная регистрация обращения правопреемника в день поступления;Внутренний регламент НПФ;? 1 рабочий день;ЗДЧ08.01.01;АРТ08.01.04
ТРЕБОВАНИЯ;Проверка комплектности документов в течение установленного срока с момента регистрации;Внутренний регламент НПФ;? 3 рабочих дня;ЗДЧ08.01.02;АРТ08.01.08
ТРЕБОВАНИЯ;Идентификация умершего участника в базе НПФ без задержек;Внутренний регламент НПФ;? 1 рабочий день;ЗДЧ08.01.03;АРТ08.01.13
ТРЕБОВАНИЯ;Юридическая проверка права на правопреемство в соответствии с законодательством;Внутренний регламент НПФ;? 5 рабочих дней;ЗДЧ08.01.04;АРТ08.01.16
ТРЕБОВАНИЯ;Принятие решения о правопреемстве после истечения срока обращения (6 месяцев со дня смерти) или при наличии всех документов;"Закон 81-ОЗ ст.10; Редакция №1 п.11";? 6 месяцев + 10 рабочих дней;ЗДЧ08.01.06;АРТ08.01.23
ТРЕБОВАНИЯ;Направление уведомления правопреемникам о принятом решении в установленный срок;Редакция №1 п.11;? 5 рабочих дней после решения;ЗДЧ08.01.07;АРТ08.01.26
ТРЕБОВАНИЯ;Расчет долей правопреемников с соблюдением точности и полноты данных;"Редакция №1 п.11.2; Редакция №7 п.11.2";? 3 рабочих дня;ЗДЧ08.02.02;АРТ08.02.06
ТРЕБОВАНИЯ;Корректный расчет НДФЛ в соответствии с налоговым законодательством;НК РФ ст.213;Постоянно;ЗДЧ08.02.03;АРТ08.02.10
ТРЕБОВАНИЯ;Согласование расчетов всеми ответственными подразделениями до выплаты средств;Внутренний регламент НПФ;? 5 рабочих дней;ЗДЧ08.02.05;АРТ08.02.16
ТРЕБОВАНИЯ;Осуществление выплат правопреемникам в установленный срок после принятия решения;"Редакция №1 п.11.3; Редакция №7 п.11.3";? 30 календарных дней после решения;ЗДЧ08.03.01, ЗДЧ08.03.02;АРТ08.03.03
ТРЕБОВАНИЯ;Контроль исполнения платежей банком в день получения выписки;Внутренний регламент НПФ;? 1 рабочий день;ЗДЧ08.03.03;АРТ08.03.09
ТРЕБОВАНИЯ;Регистрация выплат в учете в день получения подтверждения от банка;Постановление 344-П п.24;? 1 рабочий день;ЗДЧ08.03.04;АРТ08.03.11
ТРЕБОВАНИЯ;Обработка невыплаченных сумм с уведомлением правопреемников в установленный срок;Редакция №1 п.11.3;? 5 рабочих дней;ЗДЧ08.03.05;АРТ08.03.14
ТРЕБОВАНИЯ;Формирование и представление справок 2-НДФЛ в установленные налоговым законодательством сроки;НК РФ ст.230;До 1 марта следующего года;ЗДЧ08.03.06;АРТ08.03.17
ТРЕБОВАНИЯ;Закрытие дела правопреемства после завершения всех выплат и налоговых процедур;Редакция №1 п.11.4;? 10 рабочих дней после последней выплаты;ЗДЧ08.03.07;АРТ08.03.20
ТРЕБОВАНИЯ;Точность расчетов правопреемства без ошибок;Внутренний регламент НПФ;> 99%;ЗДЧ08.02.01-05;АРТ08.02.03, АРТ08.02.06
ТРЕБОВАНИЯ;Полнота проверки документов правопреемников;Внутренний регламент НПФ;100%;ЗДЧ08.01.02;АРТ08.01.08
ОГРАНИЧЕНИЯ;Срок обращения правопреемника для первичного заявления - не более 6 месяцев со дня смерти;Закон 81-ОЗ ст.10;? 6 месяцев;ЗДЧ08.01.05;АРТ08.01.19
ОГРАНИЧЕНИЯ;Выплата средств осуществляется только правопреемникам, признанным в установленном порядке;"ФЗ-75 ст.36.37; Редакция №1 п.11";-;ЗДЧ08.03.01-07;АРТ08.03.03
ОГРАНИЧЕНИЯ;Распределение средств только между правопреемниками одной очереди при их наличии;"ФЗ-75 ст.36.37; Закон 81-ОЗ ст.10";-;ЗДЧ08.02.02;АРТ08.02.06
ОГРАНИЧЕНИЯ;Выплата средств производится только после полного согласования расчетов;Внутренний регламент НПФ;-;ЗДЧ08.03.01;АРТ08.02.16
ОГРАНИЧЕНИЯ;Невозможность изменения распоряжения участника о правопреемниках после его смерти;ФЗ-75 ст.36.37;-;ЗДЧ08.02.02;АРТ08.02.05
ОГРАНИЧЕНИЯ;Зависимость процесса от наличия актуальных данных в базе участников НПФ;Внутренний регламент НПФ;-;ЗДЧ08.01.03;АРТ08.01.11
ОГРАНИЧЕНИЯ;Необходимость взаимодействия с внешними системами (банк, ПФР, ФНС);Внутренний регламент НПФ;-;ЗДЧ08.01.03, ЗДЧ08.03.02, ЗДЧ08.03.06;АРТ08.01.12, АРТ08.03.05, АРТ08.03.18
ОГРАНИЧЕНИЯ;Требования к квалификации персонала: знание пенсионного законодательства, налогового права, порядка оформления правопреемства;Внутренний регламент НПФ;-;ЗДЧ08.01.01-07, ЗДЧ08.02.01-05;-
ОГРАНИЧЕНИЯ;Обязательное соблюдение сроков хранения документов правопреемства (10 лет для первичных документов, постоянно для документов 1С);Федеральный закон об архивном деле;Постоянно;ЗДЧ08.03.07;АРТ08.03.19, АРТ08.03.21
ОГРАНИЧЕНИЯ;Ограничение способов выплаты установленными методами (банковский перевод, почтовый перевод, касса НПФ);Редакция №1 п.11.3;-;ЗДЧ08.03.01;АРТ08.03.03
ОГРАНИЧЕНИЯ;Выплата средств только при наличии достаточного остатка на расчетном счете НПФ;Постановление 344-П п.24;-;ЗДЧ08.03.02;АРТ08.03.05
ОГРАНИЧЕНИЯ;Невозможность выплаты средств без закрытия пенсионного счета умершего участника;Редакция №1 п.11.4;-;ЗДЧ08.03.07;АРТ08.03.20
ОГРАНИЧЕНИЯ;Обязательное удержание НДФЛ с сумм правопреемства в соответствии с налоговым законодательством;НК РФ ст.213;-;ЗДЧ08.02.03, ЗДЧ08.03.06;АРТ08.02.10, АРТ08.03.17
