Код процесса;Процесс;Код задачи;Задача;Вход;Выход;Суть задачи;Источник
ПРЦ08.03;Выплата средств правопреемникам;ЗДЧ08.03.02;Передача реестра в банк;Реестр выплат правопреемникам;Подтверждение приема банком;Передача сформированного реестра выплат и платежных документов в банк для исполнения. Проверка наличия достаточного остатка на расчетном счете НПФ. Получение подтверждения принятия банком платежей к исполнению. Реквизиты: номер заявки в банк, дата передачи, общая сумма к перечислению, количество платежей, реквизиты счета НПФ;"Редакция №1 п.11.3; Редакция №7 п.11.3; Закон 81-ОЗ ст.10"
;;;;Платежные поручения;Заявка на перечисление средств;;
;;;;Выписка по счету НПФ;;;
ПРЦ08.03;Выплата средств правопреемникам;ЗДЧ08.03.03;Контроль исполнения платежей;Заявка на перечисление средств;Отчет об исполнении выплат;Мониторинг статусов платежей в банке, получение банковских выписок о проведенных операциях. Сверка фактически исполненных платежей с реестром выплат. Выявление неисполненных или вернувшихся платежей. Реквизиты: номер платежа, статус (исполнен/не исполнен), дата исполнения, причина возврата (при наличии);"Редакция №1 п.11.3; Редакция №7 п.11.3"
;;;;Банковская выписка;Список неисполненных платежей;;
;;;;Статусы платежей;;;
ПРЦ08.03;Выплата средств правопреемникам;ЗДЧ08.03.04;Регистрация выплат в учете;Отчет об исполнении выплат;Регистр выплат правопреемникам;Регистрация фактически произведенных выплат в системе 1С с формированием бухгалтерских проводок по выбытию средств из пенсионных резервов. Отражение операций в регистре выплат правопреемникам. Реквизиты: номер операции, дата выплаты, ФИО правопреемника, сумма выплаты, способ выплаты, счета бухучета, статус операции;"Постановление 344-П п.24; Редакция №1 п.11.3"
;;;;Банковская выписка;Бухгалтерские проводки;;
ПРЦ08.03;Выплата средств правопреемникам;ЗДЧ08.03.05;Обработка невыплаченных сумм;Список неисполненных платежей;Уведомление правопреемникам о невыплате;Анализ причин невыплаты (неверные реквизиты, закрытый счет, отказ получателя и т.д.). Подготовка уведомлений правопреемникам с запросом актуальных реквизитов. Формирование корректирующих платежных документов. Реквизиты: причина возврата, сумма невыплаты, действия для повторной выплаты, срок повторного платежа;"Редакция №1 п.11.3; Редакция №7 п.11.3"
;;;;Причины возврата;Корректирующие документы;;
;;;;Контактные данные правопреемников;;;
ПРЦ08.03;Выплата средств правопреемникам;ЗДЧ08.03.06;Формирование налоговой отчетности;Регистр выплат правопреемникам;Справки 2-НДФЛ;Формирование справок 2-НДФЛ для правопреемников - получателей выплат. Подготовка сводного реестра удержанного НДФЛ для представления в налоговые органы. Передача справок правопреемникам. Реквизиты: ИНН правопреемника, сумма дохода, сумма налога, дата выплаты, реквизиты НПФ как налогового агента;"НК РФ ст.230; Редакция №1 п.11.4"
;;;;Расчет НДФЛ;Реестр для налоговой;;
;;;;Данные о правопреемниках;;;
ПРЦ08.03;Выплата средств правопреемникам;ЗДЧ08.03.07;Закрытие дела правопреемства;Регистр выплат правопреемникам;Закрытое дело правопреемства;Завершение дела правопреемства после полной выплаты средств всем правопреемникам. Закрытие пенсионного счета умершего участника с нулевым остатком. Формирование полного комплекта документов для передачи в архив. Реквизиты: номер дела, дата закрытия, общая выплаченная сумма, количество правопреемников, подтверждение полноты выплат, отметка о передаче в архив;"Редакция №1 п.11.4; Редакция №6 п.11.4; Редакция №7 п.11.4"
;;;;Справки 2-НДФЛ;Архивная выписка;;
;;;;Все документы по делу;;;
