Код артефакта;Наименование артефакта;Тип артефакта;Формат;Направление;Источник создания;В каких процессах участвует;В каких задачах участвует;Минимальные реквизиты
АРТ01.01.12;Проект договора с определенной пенсионной схемой;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.01.05;ПРЦ01.01, ПРЦ01.02;ЗДЧ01.01.05 (выход);Номер проекта, дата формирования, ID вкладчика, код пенсионной схемы, периодичность взносов, размер взноса, срок накопления, условия выплат, расчетные показатели
;;;;;;;ЗДЧ01.01.06 (вход);
;;;;;;;ЗДЧ01.02.01 (вход);
АРТ01.01.13;Карточка условий договора;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.01.05;ПРЦ01.01;ЗДЧ01.01.05 (выход);Номер проекта договора, код пенсионной схемы, минимальный размер взноса, рекомендуемый размер взноса, периодичность, срок накопления, дата начала накопления, плановая дата выплат, процент дохода, особые условия
;;;;;;;ЗДЧ01.01.06 (вход);
АРТ01.01.14;Согласованный проект договора;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.01.06;ПРЦ01.01, ПРЦ01.02;ЗДЧ01.01.06 (выход);Номер проекта, дата согласования, ID вкладчика, статус согласования (согласовано), способ согласования, дата получения согласия, перечень внесенных корректировок
;;;;;;;ЗДЧ01.01.07 (вход);
;;;;;;;ЗДЧ01.02.01 (вход);
АРТ01.01.15;Протокол согласования;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.01.06;ПРЦ01.01;ЗДЧ01.01.06 (выход);Номер протокола, дата направления проекта, дата получения вкладчиком, способ направления, дата согласования, наличие замечаний (да/нет), перечень замечаний, перечень внесенных изменений, итоговый статус
АРТ01.01.16;Комплект документов для заключения договора;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.01.07;ПРЦ01.01, ПРЦ01.02;ЗДЧ01.01.07 (выход);Номер комплекта, дата формирования, ID вкладчика, перечень документов (заявление, проект договора, копии документов, согласия), количество листов каждого документа, статус комплектности (полный/неполный), ответственный сотрудник
;;;;;;;ЗДЧ01.02.01 (вход);
АРТ01.01.17;Реестр документов;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.01.07;ПРЦ01.01;ЗДЧ01.01.07 (выход);Номер реестра, дата формирования, номер комплекта, перечень документов в пакете (для каждого: тип, номер, дата, количество листов, наличие подписи/печати), статус проверки комплектности
АРТ01.02.01;Шаблон договора НПО;Промежуточный;Документ 1С, DOCX;Внутренний;Юридический отдел НПФ;ПРЦ01.02;ЗДЧ01.02.01 (вход);Версия шаблона, дата утверждения, разделы договора, условия пенсионной схемы, права и обязанности сторон, порядок изменения и расторжения, ответственность сторон
АРТ01.02.02;Договор НПО с присвоенным номером;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.02.01;ПРЦ01.02;ЗДЧ01.02.01 (выход);Номер договора, дата заключения, ID вкладчика, ФИО вкладчика, код пенсионной схемы, сумма и периодичность взносов, срок действия договора, особые условия, статус (черновик/действующий), дата создания
;;;;;;;ЗДЧ01.02.02 (вход);
АРТ01.02.03;"Документ 1С ""Договор НПО""";Промежуточный;Документ 1С;Внутренний;ЗДЧ01.02.01;ПРЦ01.02, ПРЦ01.03;ЗДЧ01.02.01 (выход);Номер документа, дата документа, вкладчик (ссылка), пенсионная схема (ссылка), сумма взноса, периодичность взносов, срок договора, статус договора, номер в реестре, дата регистрации
;;;;;;;ЗДЧ01.02.04 (вход);
;;;;;;;ЗДЧ01.03.01 (вход);
;;;;;;;ЗДЧ01.03.03 (вход);
АРТ01.02.04;Шаблон оформления;Промежуточный;DOCX, Форма;Внутренний;Юридический отдел НПФ;ПРЦ01.02;ЗДЧ01.02.02 (вход);Фирменный бланк НПФ, логотип, реквизиты НПФ, поля для подписей и печатей, форматирование текста, нумерация страниц
АРТ01.02.05;Распечатанный договор НПО (2 экземпляра);Промежуточный;Бумага;Внутренний;ЗДЧ01.02.02;ПРЦ01.02;ЗДЧ01.02.02 (выход);Номер договора, дата печати, количество экземпляров (2), количество страниц в каждом экземпляре, наличие приложений, ответственный за печать, дата подготовки
;;;;;;;ЗДЧ01.02.03 (вход);
АРТ01.02.06;Лист ознакомления с условиями;Промежуточный;Бумага, PDF;Внутренний;ЗДЧ01.02.02;ПРЦ01.02;ЗДЧ01.02.02 (выход);Номер листа, дата формирования, ФИО вкладчика, перечень документов для ознакомления (правила НПФ, пенсионная схема, порядок внесения взносов), подпись вкладчика, дата подписания
АРТ01.02.07;Доверенность;Входящий;PDF, DOCX, Бумага;Входящий от вкладчика;Вкладчик/Нотариус;ПРЦ01.02;ЗДЧ01.02.03 (вход);Номер доверенности, дата выдачи, срок действия, ФИО доверителя, ФИО доверенного лица, перечень полномочий, данные нотариуса, подпись доверителя, печать нотариуса
АРТ01.02.08;Подписанный договор НПО (2 экземпляра);Промежуточный;Бумага;Внутренний;ЗДЧ01.02.03;ПРЦ01.02;ЗДЧ01.02.03 (выход);Номер договора, дата подписания, место подписания, ФИО и подпись вкладчика/представителя, ФИО и подпись представителя НПФ, должность представителя НПФ, печать НПФ, реквизиты доверенности (при наличии)
;;;;;;;ЗДЧ01.02.04 (вход);
;;;;;;;ЗДЧ01.02.05 (вход);
;;;;;;;ЗДЧ01.02.06 (вход);
АРТ01.02.09;Протокол подписания;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.02.03;ПРЦ01.02;ЗДЧ01.02.03 (выход);Номер протокола, дата подписания, место подписания, способ подписания (лично/удаленно/через представителя), ФИО подписанта от НПФ, должность, ФИО вкладчика/представителя, реквизиты доверенности, наличие печати, дата фиксации
АРТ01.02.10;Зарегистрированный договор в реестре договоров НПО;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.02.04;ПРЦ01.02, ПРЦ01.03;ЗДЧ01.02.04 (выход);ID договора, номер договора, дата заключения, дата регистрации в реестре, ID вкладчика, код пенсионной схемы, статус (действующий), дата начала действия, плановая дата окончания, ответственный менеджер, примечания
;;;;;;;ЗДЧ01.03.01 (вход);
АРТ01.02.11;"Запись в регистре сведений ""Договоры НПО""";Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.02.04;ПРЦ01.02;ЗДЧ01.02.04 (выход);Период, договор (ссылка), вкладчик (ссылка), пенсионная схема (ссылка), сумма взноса, периодичность, статус договора, дата начала, дата окончания, ресурсы (сальдо взносов, сальдо дохода)
АРТ01.02.12;Выданный экземпляр договора;Исходящий;Бумага;Исходящий вкладчику;ЗДЧ01.02.05;ПРЦ01.02;ЗДЧ01.02.05 (выход);Номер договора, дата выдачи, способ выдачи (лично/почта), ФИО получателя, подпись получателя на расписке, номер расписки, трек-номер (для почтовой отправки)
АРТ01.02.13;Расписка о получении;Промежуточный;Бумага;Внутренний;ЗДЧ01.02.05;ПРЦ01.02;ЗДЧ01.02.05 (выход);Номер расписки, дата получения, перечень полученных документов (договор НПО, памятка, приложения), количество листов, ФИО получателя, паспортные данные, подпись получателя
АРТ01.02.14;Уведомление о заключении договора;Исходящий;Email, SMS, Письмо;Исходящий вкладчику;ЗДЧ01.02.05;ПРЦ01.02;ЗДЧ01.02.05 (выход);Номер уведомления, дата направления, способ направления (email/SMS/почта), номер договора НПО, дата заключения, ФИО вкладчика, контактные данные, содержание уведомления, статус доставки
АРТ01.02.15;Памятка для вкладчика;Исходящий;PDF, Бумага;Исходящий вкладчику;Департамент НПО;ПРЦ01.02;ЗДЧ01.02.05 (вход);Версия памятки, дата актуализации, содержание (порядок внесения взносов, реквизиты для перечисления, контакты НПФ, права и обязанности вкладчика), формат (буклет/листовка)
АРТ01.02.16;Досье договора в архиве;Промежуточный;Бумага, папка;Внутренний;ЗДЧ01.02.06;ПРЦ01.02;ЗДЧ01.02.06 (выход);Архивный номер дела, номер договора НПО, дата формирования дела, состав документов (экземпляр НПФ, заявление, документы вкладчика, протоколы), количество листов, место хранения (стеллаж, полка, ячейка), срок хранения (постоянно)
АРТ01.02.17;Электронная копия договора в хранилище;Промежуточный;PDF, хранилище;Внутренний;ЗДЧ01.02.06;ПРЦ01.02;ЗДЧ01.02.06 (выход);Путь к файлу, имя файла, формат (PDF), размер файла, дата сканирования, номер договора, дата договора, контрольная сумма (хеш), ссылка на оригинал в архиве
АРТ01.03.01;Номер индивидуального пенсионного счета (ИПС);Промежуточный;Документ 1С;Внутренний;ЗДЧ01.03.01;ПРЦ01.03;ЗДЧ01.03.01 (выход);Номер ИПС (уникальный идентификатор), дата открытия, ID вкладчика, номер договора НПО, валюта счета (RUB), начальное сальдо (0), статус счета (открыт), дата начала накопления
;;;;;;;ЗДЧ01.03.02 (вход);
АРТ01.03.02;"Документ 1С ""Открытие ИПС""";Промежуточный;Документ 1С;Внутренний;ЗДЧ01.03.01;ПРЦ01.03;ЗДЧ01.03.01 (выход);Номер документа, дата документа, номер ИПС, вкладчик (ссылка), договор НПО (ссылка), пенсионная схема (ссылка), дата открытия счета, статус, ответственный сотрудник
;;;;;;;ЗДЧ01.03.02 (вход);
;;;;;;;ЗДЧ01.03.07 (вход);
АРТ01.03.03;Параметры пенсионной схемы;Промежуточный;Справочник 1С;Внутренний;Справочник НПФ;ПРЦ01.03;ЗДЧ01.03.02 (вход);Код схемы, тип схемы, тарифы распределения дохода (%), ставка вознаграждения НПФ (%), актуарные коэффициенты, условия начисления дохода, правила расчета выплат
;;;;;;;ЗДЧ01.03.04 (вход);
АРТ01.03.04;Индивидуальный пенсионный счет в регистре накопления;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.03.02;ПРЦ01.03;ЗДЧ01.03.02 (выход);Период, номер ИПС, вкладчик (ссылка), договор НПО (ссылка), пенсионная схема (ссылка), вид движения (приход/расход), сальдо пенсионных взносов, сальдо инвестдохода, статус (активен)
;;;;;;;ЗДЧ01.03.03 (вход);
АРТ01.03.05;"Запись в регистре ""Индивидуальные пенсионные счета""";Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.03.02;ПРЦ01.03;ЗДЧ01.03.02 (выход);Период, номер ИПС, вкладчик (ссылка), договор (ссылка), пенсионная схема (ссылка), дата открытия, признак учета дохода (да/нет), метод расчета выплат, статус счета (активен/заблокирован/закрыт)
АРТ01.03.06;Карточка участника НПО;Промежуточный;Справочник 1С;Внутренний;ЗДЧ01.03.03;ПРЦ01.03;ЗДЧ01.03.03 (выход);ID участника, ID вкладчика, номер договора НПО, номер ИПС, дата включения в программу НПО, статус участника (накопление/выплаты/приостановлено), плановая дата начала выплат, плановая сумма выплат
;;;;;;;ЗДЧ01.03.04 (вход);
;;;;;;;ЗДЧ01.03.06 (вход);
АРТ01.03.07;"Запись в справочнике ""Участники НПО""";Промежуточный;Справочник 1С;Внутренний;ЗДЧ01.03.03;ПРЦ01.03;ЗДЧ01.03.03 (выход);ID участника, вкладчик (ссылка), договор НПО (ссылка), ИПС (ссылка), статус, периодичность взносов, сумма взноса, дата последнего взноса, сальдо накоплений, сальдо дохода
АРТ01.03.08;Актуарные таблицы;Промежуточный;Регистр 1С;Внутренний;Актуарный отдел;ПРЦ01.03;ЗДЧ01.03.04 (вход);Пол, возраст, ожидаемая продолжительность жизни, коэффициент дожития, ожидаемый период выплат, актуарная ставка, дата актуализации таблиц
АРТ01.03.09;Расчетные параметры пенсионного счета;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.03.04;ПРЦ01.03;ЗДЧ01.03.04 (выход);Номер ИПС, возраст участника, пол, плановый возраст выхода на пенсию, ожидаемый период выплат (месяцев), тариф распределения инвестдохода (%), ставка вознаграждения НПФ (%), плановая сумма накоплений, плановый размер пенсии
;;;;;;;ЗДЧ01.03.06 (вход);
АРТ01.03.10;Плановые показатели накопления;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.03.04;ПРЦ01.03;ЗДЧ01.03.04 (выход);Номер ИПС, период (год), плановая сумма взносов, плановый инвестдоход, плановое сальдо накоплений, плановая сумма пенсии, дата расчета
АРТ01.03.11;Данные договора НПО;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.02.01;ПРЦ01.03;ЗДЧ01.03.05 (вход);Номер договора, дата договора, ID вкладчика, СНИЛС, код пенсионной схемы, дата открытия ИПС, параметры взносов и выплат
АРТ01.03.12;Уведомление в Банк России;Исходящий;XML, Стандарт ЦБ РФ;Исходящий в ЦБ РФ;ЗДЧ01.03.05;ПРЦ01.03;ЗДЧ01.03.05 (выход);Номер уведомления, дата отправки, номер ИПС, СНИЛС участника, номер договора НПО, дата открытия счета, код НПФ, регистрационный номер НПФ, формат (XML по стандарту ЦБ)
АРТ01.03.13;Подтверждение регистрации ИПС;Входящий;XML, Стандарт ЦБ РФ;Входящий от ЦБ РФ;Банк России;ПРЦ01.03;ЗДЧ01.03.05 (выход);Номер подтверждения ЦБ РФ, дата получения, номер ИПС, СНИЛС участника, статус регистрации (зарегистрирован/отклонен), код ошибки (при отклонении), дата регистрации в реестре ЦБ
;;;;;;;ЗДЧ01.03.06 (вход);
АРТ01.03.14;Уведомление участнику об открытии ИПС;Исходящий;Email, Письмо;Исходящий участнику;ЗДЧ01.03.06;ПРЦ01.03;ЗДЧ01.03.06 (выход);Номер уведомления, дата формирования, способ направления (email/почта), номер ИПС, дата открытия, ФИО участника, номер договора НПО, пенсионная схема, рекомендуемая сумма взноса, банковские реквизиты для перечисления, контакты НПФ
АРТ01.03.15;Памятка по внесению взносов;Исходящий;PDF, Бумага;Исходящий участнику;Департамент НПО;ПРЦ01.03;ЗДЧ01.03.06 (выход);Версия памятки, дата актуализации, банковские реквизиты НПФ, назначение платежа (образец заполнения), периодичность взносов, способы внесения (банк, почта, онлайн), контакты для консультаций
АРТ01.03.16;План счетов НПФ;Промежуточный;Справочник 1С;Внутренний;Бухгалтерия НПФ;ПРЦ01.03;ЗДЧ01.03.07 (вход);Номер счета, наименование счета, тип счета (активный/пассивный), уровень детализации, субсчета, аналитические разрезы, назначение
АРТ01.03.17;Бухгалтерские проводки по открытию ИПС;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.03.07;ПРЦ01.03;ЗДЧ01.03.07 (выход);Дата операции, номер документа-основания (Открытие ИПС), дебет счета, кредит счета, сумма (0), аналитика по участнику, аналитика по договору, аналитика по пенсионной схеме, содержание операции
АРТ01.03.18;Запись в регистре бухгалтерии;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.03.07;ПРЦ01.03;ЗДЧ01.03.07 (выход);Период, счет Дт, счет Кт, сумма, субконто 1 (участник), субконто 2 (договор), субконто 3 (схема), документ-основание, содержание проводки
